GEOID,total,over_200,percent
53033000100,3058,134,4.38194898626553
53033000200,3568,105,2.94282511210762
53033000300,1035,55,5.31400966183575
53033000401,3073,28,0.911161731207289
53033000402,2323,67,2.88420146362462
53033000500,1287,325,25.2525252525253
53033000600,3432,150,4.37062937062937
53033000700,2089,49,2.34561991383437
53033000800,1061,92,8.67106503298775
53033000900,891,129,14.4781144781145
53033001000,738,52,7.04607046070461
53033001100,1080,123,11.3888888888889
53033001200,3487,57,1.6346429595641
53033001300,2183,10,0.458085203847916
53033001400,2155,98,4.54756380510441
53033001500,1119,161,14.3878462913315
53033001600,1829,191,10.4428649535265
53033001701,1937,49,2.52968508002065
53033001702,1923,53,2.75611024440978
53033001800,2239,131,5.85082626172398
53033001900,1921,101,5.25767829255596
53033002000,1568,141,8.99234693877551
53033002100,1639,120,7.3215375228798
53033002200,2124,387,18.2203389830508
53033002400,1185,131,11.0548523206751
53033002500,1232,151,12.2564935064935
53033002600,1944,299,15.380658436214
53033002700,2118,321,15.1558073654391
53033002800,1990,73,3.66834170854271
53033002900,1762,140,7.94551645856981
53033003000,2453,226,9.21320831634733
53033003100,2500,230,9.2
53033003200,3932,232,5.90030518819939
53033003300,3157,114,3.61102312321825
53033003400,1458,220,15.0891632373114
53033003500,1853,152,8.20291419320021
53033003600,3121,299,9.58026273630247
53033003800,872,170,19.4954128440367
53033003900,1200,160,13.3333333333333
53033004000,1303,194,14.888718342287
53033004100,3109,936,30.106143454487
53033004200,3170,612,19.3059936908517
53033004301,1395,263,18.8530465949821
53033004302,1282,0,0
53033004400,2355,271,11.5074309978769
53033004500,972,131,13.477366255144
53033004600,1434,220,15.3417015341702
53033004700,4091,178,4.35101442190174
53033004800,2226,159,7.14285714285714
53033004900,3599,178,4.94581828285635
53033005000,1858,113,6.08180839612487
53033005100,1641,301,18.3424741011578
53033005200,2938,199,6.77331518039483
53033005301,2767,0,0
53033005302,158,17,10.7594936708861
53033005400,2564,166,6.47425897035881
53033005600,2695,858,31.8367346938775
53033005700,2853,332,11.6368734665265
53033005801,2626,169,6.43564356435644
53033005802,2625,228,8.68571428571429
53033005900,2653,462,17.4142480211082
53033006000,2321,260,11.202068074106
53033006100,2972,377,12.6850605652759
53033006200,1604,447,27.8678304239401
53033006300,2679,547,20.4180664427025
53033006400,1284,352,27.4143302180685
53033006500,2363,369,15.6157426999577
53033006600,2031,74,3.64352535696701
53033006700,3861,377,9.76430976430976
53033006800,1286,227,17.651632970451
53033006900,2050,290,14.1463414634146
53033007000,4874,272,5.58063192449733
53033007100,2130,147,6.90140845070423
53033007200,3665,144,3.92905866302865
53033007300,3026,190,6.27891606080634
53033007401,3133,77,2.4577082668369
53033007402,3597,38,1.05643591882124
53033007500,4228,128,3.02743614001892
53033007600,1896,129,6.80379746835443
